demand_id,Destination_State,Destination_City,opportunity_name,Origin_Lat,Origin_Lon,Destination_Lat,Destination_Lon,distance_km,distance_mean,distance_variance
292740805210246,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.951097244077669,-38.49484525036556,-12.94953,-38.49624,0.23014267006238973,0.5909253277023981,0.06200263972809542
292740805210247,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.948465205615543,-38.49322013114385,-12.94953,-38.49624,0.3482072977557903,0.5909253277023981,0.06200263972809542
292740805210248,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.950285491073515,-38.489493994535096,-12.94953,-38.49624,0.7367414971922143,0.5909253277023981,0.06200263972809542
292740805210249,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.950022430320152,-38.4880742898915,-12.94953,-38.49624,0.8877060556470118,0.5909253277023981,0.06200263972809542
292740805210251,BA,SALVADOR,USF JAQUEIRA DO CARNEIRO,-12.95123523073073,-38.48054014111116,-12.94926,-38.47418,0.7238856302079502,0.5449979024348257,0.05609014840352645
292740805210252,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.9539071873698,-38.48041190179604,-12.95961,-38.48388,0.7346024088498758,0.5265494861670573,0.060954064931155655
292740805210253,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.960328364875084,-38.47984292267364,-12.95961,-38.48388,0.445182509681681,0.5265494861670573,0.060954064931155655
292740805210254,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.963995887410665,-38.481928424210516,-12.95961,-38.48388,0.5294030467374226,0.5265494861670573,0.060954064931155655
292740805210255,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.96319171726316,-38.482870686597295,-12.95961,-38.48388,0.4111006358479751,0.5265494861670573,0.060954064931155655
292740805210256,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.968884988870466,-38.49882725185771,-12.96857,-38.49695,0.20663818037236406,0.5774889668459275,0.06473581699248131
292740805210257,BA,SALVADOR,UBS DR PERICLES ESTEVES CARDOSO BARBALHO,-12.969061963478412,-38.50141305665026,-12.9678033,-38.5009592,0.14769683875186904,0.472966085588763,0.06410596898284383
292740805210258,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.946521386900296,-38.49692864852479,-12.94953,-38.49624,0.3411276130045388,0.5909253277023981,0.06200263972809542
292740805210259,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.946594286725098,-38.48875793201793,-12.94953,-38.49624,0.8744115064768755,0.5909253277023981,0.06200263972809542
292740805210260,BA,SALVADOR,USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU,-12.946356361431729,-38.48776346409921,-12.93824,-38.48532,0.9362408284793295,0.558141493518019,0.056362846476132995
292740805210261,BA,SALVADOR,USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU,-12.947243429022004,-38.486593910805354,-12.93824,-38.48532,1.0055954802469576,0.558141493518019,0.056362846476132995
292740805210262,BA,SALVADOR,UBS SAO JUDAS TADEU,-12.967648671312736,-38.48333318256893,-12.95961,-38.48388,0.8912965023790161,0.5265494861670573,0.060954064931155655
292740805210263,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.967151479449278,-38.486476801940015,-12.95926,-38.48684,0.8739246753060779,0.5702769397879689,0.05560000505947246
292740805210264,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.945856211620745,-38.495506129654146,-12.94953,-38.49624,0.4141587273843317,0.5909253277023981,0.06200263972809542
292740805210265,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.945482125421202,-38.49476297466598,-12.94953,-38.49624,0.4756317751436365,0.5909253277023981,0.06200263972809542
