MUN,LATITUDE,LONGITUDE
Senador Guiomard,-10.16691,-67.72146
Senador Guiomard,-10.1423,-67.73262
Tarauaca,-8.16201,-70.76431
Tarauaca,-8.15845,-70.77276
Rio Branco,-9.97317,-67.7989
Rio Branco,-9.97087,-67.7989
Rio Branco,-10.00635,-67.78626
Assis Brasil,-10.93942,-69.56298
Rio Branco,-10.00491,-67.80175
Rio Branco,-9.92899,-67.83838
Epitaciolandia,-11.02233,-68.74529
Rio Branco,-9.95011,-67.82441
Rio Branco,-9.9707,-67.7927
Rio Branco,-10.00102,-67.84001
Senador Guiomard,-10.10103,-67.61432
Rio Branco,-9.94329,-67.79624
Rio Branco,-10.00034,-67.82615
Acrelandia,-10.07536,-67.05127
Rio Branco,-9.97651,-67.82246
Rio Branco,-9.97863,-67.81036
Rio Branco,-10.0035,-67.79557
Rio Branco,-9.97811,-67.84271
Rio Branco,-9.99612,-67.80793
Epitaciolandia,-11.02314,-68.74997
Rio Branco,-9.94888,-67.85295
Brasileia,-11.00969,-68.74248
Rio Branco,-10.01045,-67.70427
Epitaciolandia,-11.05117,-68.53226
Mancio Lima,-7.62225,-72.89233
Rio Branco,-9.96683,-67.83029
Rio Branco,-9.98871,-67.82564
Rio Branco,-9.97829,-67.81052
Cruzeiro do Sul,-7.72492,-72.73856
Rio Branco,-9.99494,-67.82941
Rio Branco,-10.01446,-67.71706
Rio Branco,-9.93697,-67.89578
Rio Branco,-9.99646,-67.81553
Placido de Castro,-10.33513,-67.18826
Rio Branco,-9.93583,-68.30468
Tarauaca,-8.1527,-70.73133
Rio Branco,-9.97817,-67.82392
Rio Branco,-9.97419,-67.79307
Rio Branco,-9.97993,-67.81695
Rio Branco,-9.98659,-67.81188
Placido de Castro,-10.33513,-67.18826
Placido de Castro,-10.33182,-67.52128
Rodrigues Alves,-7.73037,-72.65143
Placido de Castro,-10.276,-67.15
Rio Branco,-9.97458,-67.81176
Assis Brasil,-10.941,-69.567
Rio Branco,-9.95116,-67.86328
Marechal Thaumaturgo,-9.03147,-72.61511
Acrelandia,-9.82537,-66.88647
Sena Madureira,-9.0672,-68.65767
Santa Rosa do Purus,-9.43335,-70.49353
Porto Walter,-8.26935,-72.74454
Rio Branco,-9.96759,-67.78824
Rio Branco,-9.975,-67.81
Rio Branco,-9.94479,-67.80373
Manoel Urbano,-8.87341,-69.28018
Rio Branco,-9.975,-67.81
Jordao,-9.434,-71.884
