MUN,LATITUDE,LONGITUDE
Barbalha,-7.28225,-39.27571
Itaitinga,-3.97045,-38.5264
Penaforte,-7.82717,-39.08757
Tiangua,-3.83594,-40.97155
Iguatu,-6.36055,-39.2999
Itapipoca,-3.48737,-39.57968
Santana do Acarau,-3.4642,-40.21088
Maranguape,-3.95393,-38.69313
Pindoretama,-4.0278,-38.30008
Aracati,-4.56706,-37.77275
Acarau,-2.88531,-40.11824
Coreau,-3.55324,-40.65385
Senador Pompeu,-5.58934,-39.37532
Missao Velha,-7.2489,-39.14838
Pedra Branca,-5.4945,-39.77391
Brejo Santo,-7.49163,-38.98551
Brejo Santo,-7.49106,-38.97978
Acopiara,-6.13134,-39.34663
Acopiara,-6.12407,-39.26509
Acopiara,-6.09447,-39.45452
Carius,-6.53112,-39.49768
Bela Cruz,-3.0551,-40.16684
Tiangua,-3.74795,-40.9628
Capistrano,-4.47192,-38.94189
Tiangua,-3.76869,-40.90684
Pereiro,-6.04507,-38.45913
Pacatuba,-3.98612,-38.61829
Jaguaribe,-6.01562,-38.67805
Barreira,-4.28876,-38.6385
Saboeiro,-6.51884,-39.76565
Farias Brito,-6.9271,-39.57083
Barreira,-4.29436,-38.64263
Fortim,-4.4498,-37.79897
Pereiro,-6.04507,-38.45913
Araripe,-7.14027,-39.96223
Santana do Acarau,-3.46085,-40.21773
Catunda,-4.65154,-40.2058
Missao Velha,-7.24323,-39.14519
Juazeiro do Norte,-7.20313,-39.32481
Santa Quiteria,-4.34081,-40.14593
Itatira,-4.52748,-39.62462
Nova Russas,-4.7068,-40.5653
Ocara,-4.46275,-38.54658
Fortaleza,-3.81474,-38.55696
Ico,-6.49197,-38.62305
Fortaleza,-3.7238,-38.58992
Meruoca,-3.53525,-40.46348
Ocara,-4.48506,-38.59853
Ico,-6.40303,-38.86308
Ico,-6.39388,-38.85276
Ipaporanga,-4.9,-40.759
Mauriti,-7.30952,-38.79849
Morrinhos,-3.31603,-40.00896
Vicosa do Ceara,-3.6014,-41.03052
Icapui,-4.71459,-37.52397
Barbalha,-7.30717,-39.30231
Barbalha,-7.30717,-39.30231
Banabuiu,-5.15588,-38.87855
Sao Luis do Curu,-3.67624,-39.27552
Varzea Alegre,-6.79184,-39.29893
Lavras da Mangabeira,-6.6655,-39.01266
Barroquinha,-3.02001,-41.13569
Senador Pompeu,-5.58934,-39.37532
Barro,-7.16465,-38.88325
Cedro,-6.58489,-38.96895
Iguatu,-6.35972,-39.29471
Milha,-5.73298,-39.24481
Russas,-4.94536,-37.96401
Varzea Alegre,-6.79184,-39.29893
Senador Pompeu,-5.5829,-39.3718
Banabuiu,-5.31204,-38.91736
Sao Luis do Curu,-3.67044,-39.24088
Massape,-3.52387,-40.34213
Antonina do Norte,-6.77968,-39.98238
Caririacu,-7.04584,-39.28103
Senador Pompeu,-5.41976,-39.6027
Nova Russas,-4.69626,-40.56406
Lavras da Mangabeira,-6.84172,-38.97541
Jucas,-6.52674,-39.53423
Ipaporanga,-4.9,-40.759
Itaicaba,-4.6834,-37.82162
Graca,-4.10371,-40.79073
Ipueiras,-4.44352,-40.79957
Graca,-3.9739,-40.75932
Salitre,-7.27122,-40.50159
Redencao,-4.33475,-38.72204
Limoeiro do Norte,-5.1363,-38.09648
Itapipoca,-3.22454,-39.63004
Pedra Branca,-5.45468,-39.71393
Itaitinga,-3.90226,-38.51649
Granja,-3.1983,-40.95585
Altaneira,-6.99749,-39.74582
Juazeiro do Norte,-7.22709,-39.32949
Caririacu,-7.04152,-39.28437
Ico,-6.47342,-38.94086
Oros,-6.2426,-38.90296
Oros,-6.25222,-38.90561
Parambu,-6.20155,-40.70076
Itapipoca,-3.49776,-39.57481
Barbalha,-7.32183,-39.29597
Caririacu,-7.04539,-39.31798
Maracanau,-3.82433,-38.63037
Carnaubal,-4.16398,-40.93563
Fortaleza,-3.7238,-38.58992
Tiangua,-3.73874,-40.98497
Sao Benedito,-4.04386,-40.86924
Barro,-7.04297,-38.70577
Barroquinha,-3.01913,-41.13985
Mulungu,-4.30175,-38.99202
Assare,-6.92884,-39.64628
Banabuiu,-5.27605,-39.01137
Crateus,-5.17592,-40.66783
Massape,-3.52387,-40.34213
Mucambo,-3.90226,-40.7502
Morrinhos,-3.22899,-40.12134
Carire,-3.86319,-40.67876
Quixelo,-6.25094,-39.19608
Pentecoste,-3.79626,-39.267
Taua,-6.00299,-40.29262
Uruoca,-3.2935,-40.80028
Trairi,-3.26442,-39.27223
Ocara,-4.50013,-38.58546
Pacatuba,-3.98612,-38.61829
Taua,-6.00299,-40.29262
Paracuru,-3.42031,-39.0268
Ibicuitinga,-4.96916,-38.64086
Nova Russas,-4.70585,-40.56531
Ico,-6.40206,-38.8552
Caucaia,-3.73762,-38.65221
Iraucuba,-3.74985,-39.77978
Umari,-6.648,-38.7
Ararenda,-4.753,-40.833
Uruoca,-3.31677,-40.5562
Nova Olinda,-7.09678,-39.68063
Saboeiro,-6.54132,-39.90774
Erere,-6.0284,-38.34791
Cascavel,-4.13021,-38.2373
Sao Luis do Curu,-3.67097,-39.25197
Baixio,-6.73,-38.717
Alcantaras,-3.58753,-40.54451
Maranguape,-3.88354,-38.6724
Pacoti,-4.2246,-38.92542
Jaguaribe,-5.90223,-38.62996
Quixere,-5.07779,-37.98539
Carire,-3.951,-40.473
Taua,-5.99859,-40.30564
Mauriti,-7.389,-38.774
Cascavel,-4.131,-38.236
Aquiraz,-3.901,-38.391
Massape,-3.523,-40.343
Guaiuba,-4.04,-38.637
Monsenhor Tabosa,-4.78706,-40.05813
Santana do Acarau,-3.461,-40.212
Fortim,-4.45119,-37.79181
Deputado Irapuan Pinheiro,-5.92173,-39.26439
Jucas,-6.525,-39.528
Trairi,-3.27344,-39.26802
Mauriti,-7.39094,-38.77321
Iraucuba,-3.746,-39.783
Horizonte,-4.08486,-38.65085
Tiangua,-3.72955,-41.01671
Morada Nova,-5.10407,-38.37023
Morada Nova,-5.10407,-38.37023
Tiangua,-3.72616,-40.98842
Fortaleza,-3.86384,-38.50574
Ipaumirim,-6.78723,-38.71819
Uruburetama,-3.62175,-39.50508
Morada Nova,-5.10407,-38.37023
Maranguape,-3.88791,-38.68469
Santana do Cariri,-7.18638,-39.73554
Pacajus,-4.17023,-38.45644
Pacajus,-4.17318,-38.46094
Quixeramobim,-5.19299,-39.28909
Araripe,-7.20762,-40.04113
Fortaleza,-3.82243,-38.51389
Tamboril,-4.82616,-40.31904
Aurora,-6.93893,-38.96717
Jaguaribe,-5.89272,-38.62198
Quixere,-5.07124,-37.98655
Fortaleza,-3.75609,-38.59659
Jardim,-7.58193,-39.2394
Sao Benedito,-4.05194,-40.86302
Itapipoca,-3.51412,-39.5667
Iguatu,-6.36055,-39.2999
Jaguaretama,-5.60412,-38.76347
Caucaia,-3.76791,-38.65629
Pacatuba,-3.88934,-38.59784
Saboeiro,-6.54051,-39.90637
Crato,-7.23175,-39.40839
Iguatu,-6.36055,-39.2999
Oros,-6.24279,-38.91359
Maranguape,-4.00887,-38.72869
Reriutaba,-4.06064,-40.61939
Sao Joao do Jaguaribe,-5.34423,-38.18991
Horizonte,-4.10515,-38.40298
Santana do Cariri,-7.24801,-39.76022
Mombaca,-5.747,-39.6244
Crato,-7.27903,-39.38409
Sao Benedito,-4.01865,-41.00262
Umirim,-3.67556,-39.34238
Mauriti,-7.38739,-38.77279
Camocim,-2.90145,-40.83889
Ubajara,-3.88654,-40.956
Tururu,-3.59979,-39.43439
Acarau,-2.88531,-40.11824
Itarema,-3.03185,-39.85791
Crateus,-4.91721,-40.61353
Fortaleza,-3.81234,-38.51967
Sobral,-3.68803,-40.34866
Camocim,-2.90096,-40.84752
Aracoiaba,-4.4273,-38.67275
Aracati,-4.64324,-37.78631
Fortaleza,-3.82131,-38.5039
Fortaleza,-3.78568,-38.62039
Milha,-5.55932,-39.16263
Crateus,-5.32261,-40.66735
Vicosa do Ceara,-3.58043,-41.14375
Fortaleza,-3.7238,-38.58992
Caucaia,-3.77498,-38.62404
Horizonte,-4.09327,-38.49423
Jaguaretama,-5.60919,-38.76133
Quixada,-4.91668,-39.1505
Carnaubal,-4.12274,-40.94419
Caucaia,-3.73911,-38.61666
Porteiras,-7.53574,-39.11533
Mauriti,-7.38739,-38.77279
Juazeiro do Norte,-7.2176,-39.32989
Iguatu,-6.31646,-39.21005
Tarrafas,-6.6707,-39.76134
Quixeramobim,-5.23174,-39.57466
Brejo Santo,-7.49163,-38.98551
Pacatuba,-3.9012,-38.59846
Ipu,-4.30389,-40.52221
Caucaia,-3.82352,-38.66457
Crato,-7.23175,-39.40839
Juazeiro do Norte,-7.22721,-39.31139
Mucambo,-3.84129,-40.73093
Acopiara,-6.19646,-39.43162
Moraujo,-3.46636,-40.68359
Catarina,-6.1442,-39.88374
Redencao,-4.22295,-38.72957
Granjeiro,-6.88888,-39.2203
Baturite,-4.33286,-38.87735
Russas,-4.93973,-37.97543
Aquiraz,-3.91699,-38.44382
Crato,-7.26936,-39.3804
Horizonte,-4.09327,-38.49423
Paracuru,-3.41163,-39.02954
Sobral,-3.68803,-40.34866
Pacajus,-4.17608,-38.46065
Fortaleza,-3.72156,-38.55741
Jaguaruana,-4.83955,-37.78239
Caririacu,-7.04152,-39.28437
Itapipoca,-3.48515,-39.57389
Cascavel,-4.13143,-38.23968
Juazeiro do Norte,-7.2026,-39.31983
Uruoca,-3.31406,-40.55944
Monsenhor Tabosa,-4.78618,-40.06971
Quixada,-4.98704,-39.17271
Guaramiranga,-4.26205,-38.94063
Jardim,-7.66286,-39.2932
Crato,-7.23336,-39.41784
Santa Quiteria,-4.09964,-40.42932
Santana do Cariri,-7.20963,-39.63976
Tejucuoca,-3.98971,-39.57682
Quixeramobim,-5.28754,-39.1525
Chaval,-3.17043,-41.32352
Hidrolandia,-4.40799,-40.40181
Horizonte,-4.09327,-38.49423
Caucaia,-3.73029,-38.72066
Uruburetama,-3.62301,-39.50817
Pedra Branca,-5.45366,-39.71875
Fortaleza,-3.80125,-38.57634
Quixeramobim,-5.1984,-39.29435
Uruoca,-3.31323,-40.56116
Aracati,-4.57928,-37.72114
Caucaia,-3.71243,-38.67193
Campos Sales,-7.07536,-40.38385
Quixada,-4.96872,-39.01326
Pereiro,-6.04507,-38.45913
Poranga,-4.74853,-40.93289
Itapage,-3.66535,-39.66751
Bela Cruz,-3.08579,-40.15882
Saboeiro,-6.26156,-39.76301
Miraima,-3.46521,-39.89195
Caucaia,-3.71024,-38.82896
Iguatu,-6.36055,-39.2999
Tabuleiro do Norte,-5.24637,-38.12867
Iguatu,-6.36055,-39.2999
Pereiro,-6.04507,-38.45913
Beberibe,-4.35612,-38.11562
Lavras da Mangabeira,-6.74707,-38.96569
Quixeramobim,-5.19912,-39.29395
Morrinhos,-3.22763,-40.12743
Tamboril,-4.64073,-40.40803
Juazeiro do Norte,-7.21332,-39.29597
Varzea Alegre,-6.82721,-39.2791
Itapipoca,-3.35712,-39.82582
Trairi,-3.4619,-39.34699
Vicosa do Ceara,-3.52284,-41.29777
Independencia,-5.39564,-40.31145
Aracati,-4.56706,-37.77275
Marco,-3.1207,-40.15164
Itatira,-4.58383,-39.47027
Caucaia,-3.65486,-38.76594
Limoeiro do Norte,-5.15023,-38.09909
Araripe,-7.21229,-40.13118
Ocara,-4.43472,-38.50783
Missao Velha,-7.24323,-39.14519
Aquiraz,-3.9696,-38.40309
Amontada,-3.24617,-39.73855
Amontada,-3.15673,-39.75516
Brejo Santo,-7.45569,-39.07255
Cedro,-6.60496,-39.05974
Redencao,-4.22295,-38.72957
Varjota,-4.18282,-40.47899
Taua,-5.99075,-40.29508
Redencao,-4.36422,-38.69818
Frecheirinha,-3.76061,-40.8214
Crato,-7.24329,-39.41648
Horizonte,-4.09327,-38.49423
Crateus,-5.17695,-40.6684
Horizonte,-4.1373,-38.49514
Fortaleza,-3.74879,-38.53767
Quixada,-4.9585,-39.03513
Aracoiaba,-4.51557,-38.722
Mauriti,-7.38739,-38.77279
Ipu,-4.31343,-40.71872
Boa Viagem,-5.13152,-39.72669
Fortaleza,-3.7238,-38.58992
Fortaleza,-3.717,-38.543
Fortaleza,-3.7238,-38.58992
Maracanau,-3.84654,-38.65732
Maranguape,-4.0259,-38.88413
Iracema,-5.80984,-38.30466
Russas,-4.93973,-37.97543
Crato,-7.23628,-39.41278
Crateus,-5.18522,-40.66823
Aquiraz,-4.05192,-38.36372
Pacatuba,-3.8933,-38.61625
Beberibe,-4.17476,-38.12327
Cruz,-2.90374,-40.17271
Santa Quiteria,-4.33571,-40.15578
Acopiara,-6.08561,-39.2199
Sao Goncalo do Amarante,-3.60563,-38.97207
Sobral,-3.68803,-40.34866
Juazeiro do Norte,-7.21076,-39.31699
Itarema,-2.92334,-39.91567
Beberibe,-4.17476,-38.12327
Solonopole,-5.72635,-39.00822
Aquiraz,-3.90619,-38.3898
Caririacu,-6.96556,-39.18445
Aracati,-4.56706,-37.77275
Salitre,-7.28452,-40.46475
Icapui,-4.74468,-37.30487
Assare,-7.05903,-39.87861
Crato,-7.21207,-39.39124
Santana do Cariri,-7.18089,-39.73797
Paraipaba,-3.43112,-39.14759
Coreau,-3.55451,-40.64728
Aratuba,-4.46816,-39.07073
Itarema,-2.94423,-39.90882
Juazeiro do Norte,-7.23034,-39.28412
Capistrano,-4.36519,-38.93464
Caucaia,-3.75927,-38.63404
Paracuru,-3.42709,-39.02882
Missao Velha,-7.34834,-39.19739
Mombaca,-5.9522,-39.73817
Itapipoca,-3.50022,-39.59779
Tururu,-3.46514,-39.42134
Senador Pompeu,-5.60803,-39.44969
Caridade,-4.22496,-39.19303
Caninde,-4.21092,-39.73555
Redencao,-4.15387,-38.79525
Abaiara,-7.35697,-39.04754
Mauriti,-7.38739,-38.77279
Ipueiras,-4.54378,-40.71569
Juazeiro do Norte,-7.23223,-39.31916
Jijoca de Jericoacoara,-2.89968,-40.43873
Varzea Alegre,-6.79184,-39.29893
Caucaia,-3.76884,-38.65885
Missao Velha,-7.24323,-39.14519
Crato,-7.24894,-39.40177
Tiangua,-3.7234,-40.99475
Cedro,-6.58342,-39.23127
Paramoti,-4.14686,-39.26068
Jucas,-6.4185,-39.44896
Baturite,-4.33797,-38.88988
Saboeiro,-6.53378,-39.90397
Pacatuba,-3.91591,-38.60112
Potengi,-7.09017,-40.03213
Sao Benedito,-4.05458,-41.05404
Caucaia,-3.59026,-38.82542
Choro,-4.84251,-39.13746
Fortaleza,-3.77614,-38.55896
Camocim,-2.90096,-40.84752
Palmacia,-4.14816,-38.84631
Piquet Carneiro,-5.80856,-39.4194
Salitre,-7.30479,-40.48511
Iracema,-5.81116,-38.30473
Baturite,-4.32257,-38.88432
Iguatu,-6.33598,-39.11478
Crateus,-5.16816,-40.67383
Fortaleza,-3.76108,-38.55605
Limoeiro do Norte,-5.136,-38.09025
Massape,-3.52387,-40.34213
Pacajus,-4.17054,-38.46702
Acarau,-2.88531,-40.11824
Fortaleza,-3.7238,-38.58992
Fortaleza,-3.78801,-38.58192
Aquiraz,-4.00325,-38.23173
Fortaleza,-3.72335,-38.48017
Fortaleza,-3.75177,-38.47349
Fortaleza,-3.77508,-38.5828
Araripe,-7.20618,-40.13744
Chaval,-3.03596,-41.24548
Crateus,-5.17695,-40.6684
Acopiara,-6.00229,-39.42207
Fortaleza,-3.74879,-38.53767
Milagres,-7.40836,-38.93213
Acarau,-2.88531,-40.11824
Fortaleza,-3.74599,-38.49422
Caucaia,-3.76254,-38.62037
Fortaleza,-3.75484,-38.59561
Ipueiras,-4.54378,-40.71569
Fortaleza,-3.75998,-38.5278
Fortaleza,-3.77581,-38.58853
Paraipaba,-3.43619,-39.14811
Senador Pompeu,-5.58934,-39.37532
Tarrafas,-6.73956,-39.84166
Tamboril,-5.06327,-40.29089
Tarrafas,-6.68259,-39.75849
Erere,-6.03133,-38.34725
Maranguape,-4.0832,-38.79244
Morrinhos,-3.22883,-40.12417
Forquilha,-3.79854,-40.26203
Ubajara,-3.86912,-40.91742
Sobral,-3.68803,-40.34866
Itapage,-3.68567,-39.58353
Salitre,-7.28607,-40.4553
Carire,-3.84706,-40.41295
Itapage,-3.62994,-39.63089
Chorozinho,-4.28688,-38.42635
Aracoiaba,-4.45709,-38.65267
Chorozinho,-4.33124,-38.4816
Farias Brito,-6.95425,-39.5458
Ico,-6.22302,-38.6702
Bela Cruz,-3.0551,-40.16684
Quiterianopolis,-5.83926,-40.70051
Sao Benedito,-4.05164,-40.89162
Camocim,-2.90096,-40.84752
Camocim,-2.90096,-40.84752
Umari,-6.63975,-38.78682
Aurora,-6.93454,-38.99199
Martinopole,-3.22501,-40.69935
Aquiraz,-3.89967,-38.38991
Iguatu,-6.36055,-39.2999
Mombaca,-5.89582,-39.5985
Maracanau,-3.87696,-38.62441
Morada Nova,-4.72906,-38.40693
Itapipoca,-3.53441,-39.51627
Maracanau,-3.87696,-38.62441
Marco,-3.1207,-40.15164
Milha,-5.68343,-39.19718
Russas,-4.94388,-37.95072
Quixere,-5.0728,-37.98954
Jaguaribe,-5.89587,-38.62544
Iguatu,-6.36055,-39.2999
Ibiapina,-3.98104,-40.94649
Acarau,-2.82652,-40.35868
Eusebio,-3.88697,-38.44512
Itarema,-2.92334,-39.91567
Juazeiro do Norte,-7.20486,-39.30011
Aratuba,-4.41693,-39.04755
Parambu,-6.21271,-40.69591
Pereiro,-6.04507,-38.45913
Cascavel,-4.13143,-38.23968
Barro,-7.05824,-38.84684
Quixere,-5.06872,-37.99052
Camocim,-2.90096,-40.84752
Reriutaba,-4.13833,-40.57851
Acarau,-2.84731,-40.00117
Jaguaruana,-4.83955,-37.78239
Sao Goncalo do Amarante,-3.51624,-39.2082
Croata,-4.37649,-40.88049
Quiterianopolis,-5.8013,-40.772
Camocim,-2.90096,-40.84752
Coreau,-3.55319,-40.65392
Crato,-7.23175,-39.40839
Coreau,-3.74141,-40.68887
Ibiapina,-3.9874,-40.90027
Sao Goncalo do Amarante,-3.60601,-38.97009
Crateus,-5.17695,-40.6684
Monsenhor Tabosa,-4.78309,-40.07006
Maracanau,-3.87696,-38.62441
Maranguape,-3.91142,-38.67616
Crato,-7.13066,-39.59386
Maranguape,-3.97219,-38.7453
Crato,-7.23089,-39.38345
Guaraciaba do Norte,-4.16245,-40.75263
Quixeramobim,-5.19912,-39.29395
Crato,-7.25243,-39.42152
Maranguape,-3.8744,-38.66679
Fortaleza,-3.83537,-38.57691
Caninde,-4.36767,-39.31086
Assare,-6.86198,-39.78385
Caninde,-4.36007,-39.32549
Fortaleza,-3.7094,-38.58186
Caninde,-4.35561,-39.32461
Acopiara,-6.09447,-39.45452
Crateus,-5.00845,-40.63153
Bela Cruz,-3.0551,-40.16684
Bela Cruz,-3.04952,-40.13161
Pindoretama,-4.0278,-38.30008
Tejucuoca,-3.98952,-39.57663
Ipu,-4.47446,-40.58761
Tejucuoca,-3.98953,-39.57663
Pacajus,-4.18004,-38.44026
Sobral,-3.66594,-40.48622
Sobral,-3.78664,-40.61881
Sobral,-3.69035,-40.35294
Sobral,-3.75242,-40.5556
Sobral,-3.68803,-40.34866
Carius,-6.72704,-39.52213
Maracanau,-3.87696,-38.62441
Maracanau,-3.87696,-38.62441
Maracanau,-3.87696,-38.62441
Maracanau,-3.86348,-38.58681
Maracanau,-3.83684,-38.61207
Maracanau,-3.84896,-38.61842
Palmacia,-4.11284,-38.79364
Eusebio,-3.88697,-38.44512
Cascavel,-4.49544,-38.35856
Milagres,-7.31042,-38.94315
Parambu,-6.5178,-40.782
Cascavel,-4.03987,-38.19699
Eusebio,-3.88697,-38.44512
Cascavel,-4.14722,-38.33071
Palhano,-4.74453,-37.95623
Carnaubal,-4.1595,-40.94518
Itapage,-3.68544,-39.58871
Aracati,-4.56132,-37.76329
Porteiras,-7.55748,-39.16904
Aracati,-4.57418,-37.77481
Carnaubal,-4.16398,-40.93563
Tiangua,-3.4735,-40.82867
Pentecoste,-3.79626,-39.267
Tiangua,-3.73104,-40.99014
Morada Nova,-5.0951,-38.36921
Uruburetama,-3.62173,-39.5126
Morada Nova,-5.09695,-38.3649
Barbalha,-7.30717,-39.30231
Morada Nova,-5.23869,-38.48826
Caririacu,-7.04471,-39.37163
Jardim,-7.6779,-39.23936
Penaforte,-7.82991,-39.07412
Hidrolandia,-4.40799,-40.40181
Santana do Acarau,-3.45977,-40.20946
Aracati,-4.55563,-37.76627
Senador Pompeu,-5.58532,-39.37989
Aracati,-4.56706,-37.77275
Pindoretama,-4.0278,-38.30008
Maranguape,-4.02191,-38.75349
Pindoretama,-4.02956,-38.29797
Senador Pompeu,-5.58622,-39.37545
Brejo Santo,-7.54972,-39.0191
Brejo Santo,-7.49163,-38.98551
Brejo Santo,-7.49275,-38.98968
Brejo Santo,-7.49163,-38.98551
Guaraciaba do Norte,-4.15836,-40.75796
Pacoti,-4.17,-38.86844
Tiangua,-3.72551,-41.00269
Croata,-4.46387,-40.86193
Guaramiranga,-4.26205,-38.94063
Pacoti,-4.22476,-38.92588
Carius,-6.53112,-39.49768
Croata,-4.37929,-40.82753
Pacoti,-4.22476,-38.92588
Pacatuba,-3.98612,-38.61829
Itaicaba,-4.6834,-37.82162
Barreira,-4.29436,-38.64263
Icapui,-4.69499,-37.37804
Farias Brito,-6.86643,-39.61296
Santana do Acarau,-3.54135,-40.12584
Caririacu,-7.04152,-39.28437
Juazeiro do Norte,-7.2111,-39.31858
Itapipoca,-3.2843,-39.65429
Tururu,-3.59559,-39.43436
Catunda,-4.65154,-40.2058
Trairi,-3.26442,-39.27223
Trairi,-3.30241,-39.47625
Trairi,-3.21883,-39.36201
Graca,-4.03554,-40.75118
Ipaporanga,-4.81603,-40.85171
Fortaleza,-3.7238,-38.58992
Fortaleza,-3.7238,-38.58992
Novo Oriente,-5.53386,-40.77476
Cruz,-2.9206,-40.1747
Ocara,-4.48506,-38.59853
Fortaleza,-3.83059,-38.55535
Fortaleza,-3.7238,-38.58992
Ico,-6.40154,-38.85705
Iguatu,-6.36055,-39.2999
Santa Quiteria,-4.32078,-40.15472
Quixeramobim,-5.1984,-39.29435
Jaguaribara,-5.68047,-38.48731
Carire,-3.88902,-40.60347
Barro,-7.1682,-38.77988
Barro,-7.17993,-38.78128
Jaguaretama,-5.61088,-38.76252
Lavras da Mangabeira,-6.75474,-38.96727
Apuiares,-3.94801,-39.43042
Taua,-6.00071,-40.29249
Russas,-4.93973,-37.97543
Itapage,-3.67882,-39.59753
Carire,-4.06274,-40.40307
Morada Nova,-5.03087,-38.3231
Tejucuoca,-3.87687,-39.47057
Ibicuitinga,-4.96916,-38.64086
Caucaia,-3.731,-38.65687
Varzea Alegre,-6.79184,-39.29893
Aracoiaba,-4.36467,-38.79826
Taua,-5.92343,-39.90665
Barro,-7.17993,-38.78128
Varzea Alegre,-6.79184,-39.29893
Pentecoste,-3.79446,-39.26908
Russas,-4.93973,-37.97543
Oros,-6.24279,-38.91359
Forquilha,-3.79895,-40.25876
Ico,-6.40173,-38.87559
Acarape,-4.22553,-38.70742
Fortaleza,-3.70632,-38.5898
Barro,-7.22496,-38.72367
Lavras da Mangabeira,-6.83066,-39.11109
Sao Luis do Curu,-3.67044,-39.24088
Iguatu,-6.38848,-39.29647
Lavras da Mangabeira,-6.75048,-38.96899
Ibicuitinga,-4.96916,-38.64086
Russas,-4.95409,-37.99275
Caririacu,-7.04032,-39.29436
Tabuleiro do Norte,-5.2438,-38.12973
Mulungu,-4.33911,-39.01794
Tiangua,-3.71813,-40.98448
Alto Santo,-5.64406,-38.05436
Campos Sales,-7.07057,-40.3713
Potiretama,-5.72447,-38.15077
Granja,-3.11895,-40.82993
Guaraciaba do Norte,-4.30659,-40.82002
Catarina,-6.13489,-39.87744
Juazeiro do Norte,-7.21262,-39.3206
Itapage,-3.68105,-39.58889
Brejo Santo,-7.49106,-38.97977
Itapipoca,-3.50359,-39.58067
Pentecoste,-3.90101,-39.19372
Carnaubal,-4.16398,-40.93563
Santa Quiteria,-4.4595,-39.80262
Guaiuba,-4.04928,-38.63383
Apuiares,-3.94801,-39.43042
Marco,-3.1207,-40.15164
Apuiares,-3.94801,-39.43042
Ocara,-4.48419,-38.58748
Tiangua,-3.66011,-40.91872
Sobral,-3.68803,-40.34866
Carire,-4.05705,-40.48146
Massape,-3.52387,-40.34213
Santa Quiteria,-4.64776,-40.06842
Ubajara,-3.85936,-40.92226
Pentecoste,-3.7873,-39.2726
Morrinhos,-3.22883,-40.12417
Farias Brito,-6.9271,-39.57083
Pentecoste,-3.81235,-39.26159
Caucaia,-3.84285,-38.71599
Tamboril,-4.83392,-40.31906
Juazeiro do Norte,-7.22652,-39.34144
Crateus,-5.17025,-40.66654
Alcantaras,-3.55848,-40.52221
Cruz,-2.88664,-40.17183
Novo Oriente,-5.59725,-40.73751
Itapipoca,-3.494,-39.579
Maracanau,-3.8721,-38.61683
Fortaleza,-3.72845,-38.49155
Amontada,-3.361,-39.831
Porteiras,-7.535,-39.118
Catarina,-6.12796,-39.87801
Independencia,-5.396,-40.309
Jardim,-7.582,-39.298
Mucambo,-3.909,-40.747
Alcantaras,-3.58753,-40.54451
Carnaubal,-4.1595,-40.94518
Fortaleza,-3.7873,-38.55062
Abaiara,-7.34198,-39.04386
Icapui,-4.70238,-37.34798
Itapipoca,-3.494,-39.579
Piquet Carneiro,-5.804,-39.418
Pedra Branca,-5.45286,-39.70973
Mauriti,-7.38787,-38.76992
Alcantaras,-3.589,-40.546
Miraima,-3.5663,-39.96558
Vicosa do Ceara,-3.562,-41.092
Juazeiro do Norte,-7.213,-39.315
Tururu,-3.581,-39.437
Itapiuna,-4.564,-38.922
Carire,-3.95064,-40.47261
Choro,-4.843,-39.141
Novo Oriente,-5.534,-40.774
Martinopole,-3.22209,-40.69147
Ico,-6.401,-38.862
Mauriti,-7.38787,-38.76992
Paracuru,-3.4061,-39.02514
Graca,-4.046,-40.753
Itarema,-2.91887,-39.90915
Vicosa do Ceara,-3.55746,-41.08876
Eusebio,-3.89,-38.451
Palhano,-4.74062,-37.95542
Guaraciaba do Norte,-4.167,-40.748
Itarema,-2.91887,-39.90915
Caridade,-4.232,-39.193
Mauriti,-7.389,-38.774
Jaguaruana,-4.834,-37.781
Milagres,-7.30812,-38.94274
Acarape,-4.22124,-38.70508
Campos Sales,-7.07141,-40.37243
Baixio,-6.7248,-38.71684
Morada Nova,-5.10407,-38.37023
Ibiapina,-3.92073,-40.88706
Sobral,-3.68503,-40.34333
Uruburetama,-3.62175,-39.50508
Aurora,-6.9431,-38.9675
Morada Nova,-5.10407,-38.37023
Ibaretama,-4.80254,-38.75203
Boa Viagem,-5.12328,-39.72616
Maranguape,-3.88791,-38.68469
Sao Goncalo do Amarante,-3.60099,-38.95897
Barroquinha,-3.01802,-41.13503
Pereiro,-6.03842,-38.45593
Solonopole,-5.73333,-39.00458
Tiangua,-3.71982,-40.9815
Quixeramobim,-5.19198,-39.29339
Crateus,-5.18037,-40.66395
Brejo Santo,-7.48943,-38.98571
Iguatu,-6.35576,-39.29265
Aracati,-4.5259,-37.70465
Penaforte,-7.82412,-39.07311
Chorozinho,-4.28911,-38.49891
Sobral,-3.67337,-40.37241
Porteiras,-7.53418,-39.11768
Iguatu,-6.35576,-39.29265
Brejo Santo,-7.48943,-38.98571
Itapipoca,-3.51619,-39.56621
Jaguaruana,-4.83367,-37.77548
Morada Nova,-5.10407,-38.37023
Mauriti,-7.38689,-38.77141
Ipu,-4.32765,-40.71276
Milagres,-7.31589,-38.94071
Mulungu,-4.30339,-38.9913
Fortaleza,-3.85473,-38.51915
Abaiara,-7.35542,-39.04079
Graca,-4.04113,-40.75169
Jaguaruana,-4.83367,-37.77548
Ibicuitinga,-4.96933,-38.54803
Vicosa do Ceara,-3.53165,-41.16025
